CEST;"Descricao";Inicio;Fim
0107100;"Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos";2018-01-01;2023-08-31
0107100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0107200;"Cabos coaxiais e outros condutores elétricos coaxiais";2018-01-01;2023-08-31
0107200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0107300;"Jogos de fios para velas de ignição e outros jogos de fios";2018-01-01;2023-08-31
0107300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0107400;"Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas";2018-01-01;2023-08-31
0107400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0107500;"Partes e acessórios dos veículos automóveis das posições 8701 a 8705";2018-01-01;2023-08-31
0107500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0107600;"Parte e acessórios de motocicletas (incluídos os ciclomotores)";2018-01-01;2023-08-31
0107600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0107700;"Engates para reboques e semirreboques";2018-01-01;2023-08-31
0107700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0107800;"Medidores de nível Medidores de vazão";2018-01-01;2023-08-31
0107800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0107900;"Aparelhos para medida ou controle da pressão";2018-01-01;2023-08-31
0107900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0108000;"Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios";2018-01-01;2023-08-31
0108000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0108100;"Amperímetros";2018-01-01;2023-08-31
0108100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0108200;"Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)";2018-01-01;2023-08-31
0108200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0108300;"Controladores eletrônicos";2018-01-01;2023-08-31
0108300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0108400;"Relógios para painéis de instrumentos e relógios semelhantes";2018-01-01;2023-08-31
0108400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0108500;"Assentos e partes de assentos";2018-01-01;2023-08-31
0108500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0108600;"Acendedores";2018-01-01;2023-08-31
0108600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0108700;"Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios";2018-01-01;2023-08-31
0108700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0108800;"Juntas de vedação de cortiça natural e de amianto";2018-01-01;2023-08-31
0108800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0108900;"Papel-diagrama para tacógrafo, em disco";2018-01-01;2023-08-31
0108900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0109000;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";2018-01-01;2023-08-31
0109000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0109100;"Cilindros pneumáticos";2018-01-01;2023-08-31
0109100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0109200;"Bomba elétrica de lavador de para-brisa";2018-01-01;2023-08-31
0109200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0109300;"Bomba de assistência de direção hidráulica";2018-01-01;2023-08-31
0109300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0109400;"Motoventiladores";2018-01-01;2023-08-31
0109400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0109500;"Filtros de pólen do ar-condicionado";2018-01-01;2023-08-31
0109500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0109600;"“Máquina” de vidro elétrico de porta";2018-01-01;2023-08-31
0109600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0109700;"Motor de limpador de para-brisa";2018-01-01;2023-08-31
0109700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0109800;"Bobinas de reatância e de autoindução";2018-01-01;2023-08-31
0109800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0109900;"Baterias de chumbo e de níquel-cádmio";2018-01-01;2023-08-31
0109900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0110000;"Aparelhos de sinalização acústica (buzina)";2018-01-01;2023-08-31
0110000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0110100;"Instrumentos para regulação de grandezas não elétricas";2018-01-01;2023-08-31
0110100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0110200;"Analisadores de gases ou de fumaça (sonda lambda)";2018-01-01;2023-08-31
0110200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0110300;"Perfilados de borracha vulcanizada não endurecida";2018-01-01;2023-08-31
0110300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0110400;"Artefatos de pasta de fibra de uso automotivo";2018-01-01;2023-08-31
0110400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0110500;"Tapetes/carpetes - nailón";2018-01-01;2023-08-31
0110500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0110600;"Tapetes de matérias têxteis sintéticas";2018-01-01;2023-08-31
0110600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0110700;"Forração interior capacete";2018-01-01;2023-08-31
0110700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0110800;"Outros para-brisas";2018-01-01;2023-08-31
0110800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0110900;"Moldura com espelho";2018-01-01;2023-08-31
0110900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0111000;"Corrente de transmissão";2018-01-01;2019-12-31
0111100;"Corrente transmissão";2018-01-01;2023-08-31
0111100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0111200;"Outras correntes de transmissão";2018-01-01;2023-08-31
0111200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0111300;"Condensador tubular metálico";2018-01-01;2023-08-31
0111300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0111400;"Trocadores de calor";2018-01-01;2023-08-31
0111400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0111500;"Partes de aparelhos mecânicos de pulverizar ou dispersar";2018-01-01;2023-08-31
0111500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0111600;"Macacos manuais para veículos";2018-01-01;2023-08-31
0111600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0111700;"Caçambas, pás, ganchos e tenazes para máquinas rodoviárias";2018-01-01;2023-08-31
0111700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0111800;"Geradores de corrente alternada de potência não superior a 75 kva";2018-01-01;2023-08-31
0111800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0111900;"Aparelhos elétricos para alarme de uso automotivo";2018-01-01;2023-08-31
0111900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0112000;"Bússolas";2018-01-01;2023-08-31
0112000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0112100;"Indicadores de temperatura";2018-01-01;2023-08-31
0112100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0112200;"Partes de indicadores de temperatura";2018-01-01;2023-08-31
0112200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0112300;"Partes de aparelhos de medida ou controle";2018-01-01;2023-08-31
0112300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0112400;"Termostatos";2018-01-01;2023-08-31
0112400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0112500;"Instrumentos e aparelhos para regulação";2018-01-01;2023-08-31
0112500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0112600;"Pressostatos";2018-01-01;2023-08-31
0112600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0112700;"Peças para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00";2018-01-01;2023-08-31
0112700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0112800;"Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis";2018-01-01;2023-08-31
0112800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0199900;"Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo";2018-01-01;2023-08-31
0199900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0200100;"Aperitivos, amargos, bitter e similares";2018-01-01;2023-08-31
0200100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0200200;"Batida e similares";2018-01-01;2023-08-31
0200200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0200300;"Bebida ice";2018-01-01;2023-08-31
0200300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0200400;"Cachaça e aguardentes";2018-01-01;2023-08-31
0200400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0200500;"Catuaba e similares";2018-01-01;2023-08-31
0200500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0200600;"Conhaque, brandy e similares";2018-01-01;2023-08-31
0200600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
